OrderID,OrderDate,Region,Category,Product,UnitPrice,Quantity,DiscountRate,GrossSales,NetSales,Cost,Profit,PaymentMethod,Month,MonthNum,Quarter
ORD-2025-1000,2025-12-08 20:07:00.350291,East,Home & Kitchen,Cookware Set,88.36,4,0.0,353.44,353.44,206.67,146.77,Credit Card,Dec,12,Q4
ORD-2025-1001,2025-04-15 03:07:21.367806,West,Apparel,T-Shirt,120.71,3,0.05,362.13,344.02,253.94,90.08,Credit Card,Apr,4,Q2
ORD-2025-1002,2025-10-23 23:55:11.759799,North,Home & Kitchen,Cookware Set,54.4,2,0.15,108.8,92.48,45.34,47.14,Debit Card,Oct,10,Q4
ORD-2025-1003,2025-08-24 13:59:29.974979,North,Apparel,T-Shirt,130.91,1,0.0,130.91,130.91,76.09,54.82,Credit Card,Aug,8,Q3
ORD-2025-1004,2025-06-21 12:37:49.891576,South,Sports & Outdoors,Bicycle,331.36,4,0.0,1325.44,1325.44,904.48,420.96,Credit Card,Jun,6,Q2
ORD-2025-1005,2025-04-13 07:24:22.218515,South,Apparel,Jacket,109.12,1,0.1,109.12,98.21,70.75,27.46,Credit Card,Apr,4,Q2
ORD-2025-1006,2025-12-19 18:24:55.246038,North,Home & Kitchen,Air Fryer,151.12,4,0.0,604.48,604.48,459.97,144.51,Credit Card,Dec,12,Q4
ORD-2025-1007,2025-09-02 02:00:06.005004,East,Home & Kitchen,Air Fryer,261.11,3,0.05,783.33,744.16,485.0,259.16,Credit Card,Sep,9,Q3
ORD-2025-1008,2025-09-19 23:52:47.639699,East,Beauty & Care,Skincare Set,61.04,4,0.15,244.16,207.54,124.59,82.95,UPI / Wallet,Sep,9,Q3
ORD-2025-1009,2025-06-25 04:03:48.190158,East,Electronics,Laptop,1065.03,2,0.0,2130.06,2130.06,1433.77,696.29,Cash on Delivery,Jun,6,Q2
ORD-2025-1010,2025-07-11 20:47:50.391993,West,Electronics,Headphones,157.3,4,0.0,629.2,629.2,459.01,170.19,Credit Card,Jul,7,Q3
ORD-2025-1011,2025-12-11 20:58:38.932443,North,Apparel,T-Shirt,132.93,3,0.05,398.79,378.85,238.37,140.48,Credit Card,Dec,12,Q4
